ReportYear,OrganisationCode,OrganisationName,CountryName,RegionName,SustainabilityAndTransformationPartnershipName,IntegratedCareBoardName,NeonatalNetworkName,Longitude,Latitude,TotalBirths,TotalStillbirths,CrudeStillbirthRate,CrudeStillbirthCategoryID,CrudeStillbirthCategoryName,StabilisedStillbirthRate,StabilisedStillbirthCategoryID,StabilisedStillbirthCategoryName,StabilisedStillbirthCI,TotalLiveBirths,TotalNeonatalDeaths,CrudeNeonatalDeathRate,CrudeNeonatalDeathCategoryID,CrudeNeonatalDeathCategoryName,StabilisedNeonatalDeathRate,StabilisedNeonatalDeathCategoryID,StabilisedNeonatalDeathCategoryName,StabilisedNeonatalDeathCI,TotalPerinatalDeaths,CrudePerinatalDeathRate,CrudePerinatalDeathCategoryID,CrudePerinatalDeathCategoryName,StabilisedPerinatalDeathRate,StabilisedPerinatalDeathCategoryID,StabilisedPerinatalDeathCategoryName,StabilisedPerinatalDeathCI,ComparatorGroupID,ComparatorGroupName,GroupAverageStillbirthRate,GroupAverageNeonatalDeathRate,GroupAveragePerinatalDeathRate
2024,138,NHS Lothian,Scotland,Scotland,,,Scotland,-3.523089391,55.89188825,8243,24,2.91,3,5 to 15% lower,3.33,4,Within 5%,2.58 to 4.15,8219,9,1.1,3,5 to 15% lower,1.24,4,Within 5%,0.89 to 1.76,33,4,3,5 to 15% lower,4.55,4,Within 5%,3.83 to 5.75,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,139,NHS Orkney,Scotland,Scotland,,,Scotland,-2.966063684,58.97654423,112,-1,-1,0,Suppressed due to small numbers,2.43,4,Within 5%,1.57 to 3.59,112,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.35 to 1.16,-1,-1,0,Suppressed due to small numbers,3.12,4,Within 5%,2.17 to 4.54,5,"Under 2,000 births",2.44,0.7,3.13
2024,140,NHS Shetland,Scotland,Scotland,,,Scotland,-1.155648827,60.15095941,89,-1,-1,0,Suppressed due to small numbers,2.43,4,Within 5%,1.59 to 3.50,89,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.38 to 1.14,-1,-1,0,Suppressed due to small numbers,3.12,4,Within 5%,2.21 to 4.49,5,"Under 2,000 births",2.44,0.7,3.13
2024,141,NHS Tayside,Scotland,Scotland,,,Scotland,-2.991362218,56.46165295,3395,6,1.77,2,Over 15% lower,3.08,4,Within 5%,2.30 to 3.99,3389,3,0.89,2,Over 15% lower,1.43,4,Within 5%,1.01 to 2.05,9,2.65,2,Over 15% lower,4.5,4,Within 5%,3.82 to 5.64,2,Level 3 NICU,3.22,1.46,4.68
2024,142,NHS Western Isles,Scotland,Scotland,,,Scotland,-6.3858188,58.20806253,140,-1,-1,0,Suppressed due to small numbers,2.46,4,Within 5%,1.56 to 3.69,139,-1,-1,0,Suppressed due to small numbers,0.7,4,Within 5%,0.38 to 1.11,-1,-1,0,Suppressed due to small numbers,3.15,4,Within 5%,2.25 to 4.45,5,"Under 2,000 births",2.44,0.7,3.13
2024,143,Norfolk and Norwich University Hospitals NHS Foundation Trust,England,East of England,,,East of England,1.221066846,52.61808587,4799,16,3.33,4,Within 5%,3.32,4,Within 5%,2.63 to 4.35,4783,6,1.25,4,Within 5%,1.24,4,Within 5%,0.89 to 1.76,22,4.58,4,Within 5%,4.55,4,Within 5%,3.85 to 5.93,1,Level 3 NICU & neonatal surgery,3.21,1.25,4.45
2024,146,North Bristol NHS Trust,England,South West,,,South West,-2.592948534,51.49733293,5361,10,1.87,2,Over 15% lower,3.01,3,5 to 15% lower,2.20 to 3.83,5351,5,0.93,2,Over 15% lower,1.37,3,5 to 15% lower,0.95 to 1.88,15,2.8,2,Over 15% lower,4.38,3,5 to 15% lower,3.52 to 5.58,2,Level 3 NICU,3.22,1.46,4.68
2024,147,North Cumbria Integrated Care NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-2.955294898,54.89574471,2465,7,2.84,4,Within 5%,2.73,4,Within 5%,2.06 to 3.67,2458,4,1.63,5,Over 5% higher,0.87,5,Over 5% higher,0.63 to 1.30,11,4.46,5,Over 5% higher,3.61,4,Within 5%,3.06 to 4.78,4,"2,000-3,999 births",2.71,0.83,3.54
2024,153,North Tees and Hartlepool NHS Foundation Trust,England,North East and Yorkshire,,,Northern,-1.34675952,54.58293317,2536,-1,-1,0,Suppressed due to small numbers,2.67,4,Within 5%,2.09 to 3.43,2530,-1,-1,0,Suppressed due to small numbers,0.84,4,Within 5%,0.57 to 1.27,8,3.15,3,5 to 15% lower,3.5,4,Within 5%,2.91 to 4.51,4,"2,000-3,999 births",2.71,0.83,3.54
2024,171,North West Anglia NHS Foundation Trust,England,East of England,,,East of England,-0.202678698,52.33334983,5899,17,2.88,5,Over 5% higher,2.73,4,Within 5%,2.07 to 3.69,5882,6,1.02,5,Over 5% higher,0.75,4,Within 5%,0.52 to 1.10,23,3.9,5,Over 5% higher,3.48,4,Within 5%,2.90 to 4.62,3,"4,000 or more births",2.72,0.73,3.44
